Animal_Number,year,month,age,Lactation_Number,Days_In_Milk,RT_mean,RT_variance,AT_mean,AT_variance,temperature_mean,temperature_variance,humidity_mean,humidity_variance,solarradiation_mean,solarradiation_variance,THI_mean,THI_variance,MY1,MY2
56759,2023,10,2.3013698630137,1,154,533.466666666667,20563.4095238095,484.066666666667,15362.0666666667,68.5333333333333,27.7666666666667,56.5133333333333,60.2340952380953,179.613333333333,784.236952380953,50.9784824666667,26.767824470282,48.35744312,38.7088932914286
56768,2024,2,2.67397260273973,1,284,562.333333333333,1591.2380952381,413.266666666667,226.780952380952,54.58,9.29028571428572,74.6333333333333,14.1252380952381,158.846666666667,2344.27695238095,39.5952815333333,7.48403742537869,25.01106288,35.7132421257143
56769,2023,8,2.13150684931507,1,83,585.8,25032.7428571429,486.133333333333,15666.8380952381,79.4933333333333,11.5506666666667,46.4533333333333,41.1040952380952,297.626666666667,197.049238095238,62.9048390666667,20.3691799046466,34.46845608,33.17571888
56778,2023,12,2.5013698630137,1,223,495.666666666667,17931.5238095238,459.466666666667,14356.4095238095,52.5333333333333,19.1009523809524,76.1,119.051428571429,67.3666666666667,887.816666666667,39.0450475333333,43.8100596019408,52.9115068,40.82781592
56780,2023,10,2.32876712328767,1,129,548.133333333333,27316.4095238095,463.066666666667,19469.4952380952,66.6666666666667,12.3095238095238,59.92,72.5831428571429,166.4,1007.52142857143,49.2929982666667,9.41607271720206,38.31945216,34.3919934285714
56781,2023,8,2.12876712328767,1,57,532.6,19428.4,465.866666666667,14050.2666666667,79.4933333333333,11.5506666666667,46.4533333333333,41.1040952380952,297.626666666667,197.049238095238,62.9048390666667,20.3691799046466,39.51239912,40.5867641714286
56785,2023,8,2.16438356164384,1,70,433.8,3312.31428571429,537.933333333333,7521.20952380952,81.36,13.604,53.7066666666667,35.4663809523809,255.26,2686.89828571429,63.6936758666667,13.8575278578415,45.80825608,45.3417043085714
56787,2023,9,2.2,1,100,518.133333333333,16556.2666666667,418.866666666667,11863.6952380952,76.1866666666667,8.65266666666667,50.66,37.2082857142857,250.24,1179.464,58.8404036666667,12.3094586862868,51.19239312,41.2172570514286
56788,2024,2,2.63835616438356,1,279,575.266666666667,2582.49523809524,440.733333333333,881.352380952381,50.76,18.3654285714286,77.0333333333333,31.7952380952381,110.713333333333,2236.50980952381,36.8229523333333,17.8313299209512,49.70007544,38.1360713942857
56791,2023,12,2.44109589041096,1,132,433.2,14541.0285714286,468.8,14312.7428571429,51.9533333333333,15.9198095238095,66.8933333333333,41.8206666666667,100.473333333333,558.803523809524,35.1493182666667,21.4546299737152,30.22737088,29.81460216
